id,category,name,description,vendor,version,source,productname,platform,licence,created_at,reviewed_at,retired_at,path,visibility,nickname,command,auth_command
TA_PTC_001,editor,VS Code,Visual Studio Code is a code editor redefined and optimized for building and debugging modern web and cloud applications.,Microsoft,,https://code.visualstudio.com,Visual Studio Code,"Windows, Linux, macOS",,2015-01-01,,,Microsoft/vscode,public,TA_PTC_001,code,
TA_PTC_002,os,Windows 10,,Microsoft,10,https://www.microsoft.com/en-us/windows/get-windows-10,Windows,Windows,,2015-07-15,,,Microsoft/Windows10,,TA_PTC_002,,
TA_PTC_003,os,Windows 11,,Microsoft,11,https://www.microsoft.com/en-us/windows/get-windows-11,Windows,Windows,,2021-10-05,,,Microsoft/Windows11,,TA_PTC_003,,
TA_PTC_004,source-control,Git,Git is a free and open source distributed version control system.,,,https://git-scm.com/,Git,"Windows, Linux, macOS",,2005-04-07,,,git/git,public,TA_PTC_004,git,
TA_PTC_005,source-control,GitHub,"GitHub, Inc. is a provider of Internet hosting for software development and version control using Git.","GitHub, Inc.",current,https://github.com/,GitHub,SaaS,,,,,GitHub,,TA_PTC_005,,
TA_PTC_006,presentation,reveal.js,reveal.js is an open source HTML presentation framework.,Hakim El Hattab and contributors,,https://revealjs.com/,reveal.js,Browser,MIT,,,,,public,TA_PTC_006,,
TA_PTC_007,runtime,Python,"Python is a high-level, general-purpose programming language. Primary scripting and tooling language for this org.",Python Software Foundation,3.13,https://www.python.org/,Python,"Windows, Linux, macOS",PSF License,2026-05-27,,,python/cpython,public,TA_PTC_007,python,
TA_PTC_008,task-runner,just,just is a handy way to save and run project-specific commands (recipes). Used for all package and org tooling.,Casey Rodarmor,,https://just.systems/,just,"Windows, Linux, macOS",CC0,2026-05-27,,,casey/just,public,TA_PTC_008,just,
TA_PTC_009,web-server,Caddy,"Caddy is a powerful, extensible platform to serve sites and services. Automatic HTTPS built-in.",Caddy Authors,,https://caddyserver.com/,Caddy,"Windows, Linux, macOS",Apache 2.0,2026-05-27,,,caddyserver/caddy,public,TA_PTC_009,caddy,
TA_PTC_010,package-manager,uv,"Extremely fast Python package and project manager written in Rust. Replaces pip, pip-tools, pipx, poetry, pyenv, and virtualenv.",Astral,,https://docs.astral.sh/uv/,uv,"Windows, Linux, macOS",MIT/Apache 2.0,2026-05-27,,,astral-sh/uv,public,TA_PTC_010,uv,
TA_PTC_011,cli,gh,GitHub CLI brings GitHub to your terminal. Used by the org provisioner and snapshot tools.,GitHub,,https://cli.github.com/,GitHub CLI,"Windows, Linux, macOS",MIT,2026-05-27,,,cli/cli,public,TA_PTC_011,gh,gh auth status
TA_PTC_012,shell,PowerShell Core,"Cross-platform task automation shell and scripting language. Primary shell for justfiles and onboarding scripts in this org.",Microsoft,,https://github.com/PowerShell/PowerShell,pwsh,"Windows, Linux, macOS",MIT,2026-05-27,,,PowerShell/PowerShell,public,TA_PTC_012,pwsh,
TA_PTC_013,linter,ruff,"Extremely fast Python linter and code formatter written in Rust. Replaces flake8, black, and isort across all Python packages.",Astral,,https://docs.astral.sh/ruff/,ruff,"Windows, Linux, macOS",MIT,2026-05-27,,,astral-sh/ruff,public,TA_PTC_013,ruff,
